香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
主修[主修]	zhu3xiu1	verb 1 specialize (in a subject); major (opp. 辅修,副修) 她主修原子物理。 Tā zhǔxiū yuánzǐ wùlǐ. She majors in atomic physics. 2 responsible for the repair or overhaul (of a machine) 王师傅主修这台磨床。 Wáng shīfu zhǔxiū zhè tái móchuáng. Master worker Wang is responsible for the overhaul of this grinder.
好险[好險]	hao3xian3	1 to have a close call 2 to have a narrow escape
体统[體統]	ti3tong3	noun decorum; propriety; decency 有失体统 yǒushī tǐtǒng disgraceful; scandalous 他这样无理取闹, 成何体统！ Tā zhèyàng wúlǐqǔnào, chéng hé tǐtǒng! He’s just being difficult and it’s so embarrasing! See 17892352不成体统bu4cheng2ti3tong3不成体统
仕途多蹇[仕途多蹇]	shi4tu2duo1jian3	official career fraught with difficulties and danger; difficult career
影集[影集]	ying3ji2	noun 1 photograph (or picture, photo) album 2 TV miniseries; soap opera
断气[斷氣]	duan4//qi4	verb 1 breathe one's last; die 2 cut off the gas; gas stoppage
急诊[急診]	ji2zhen3	noun 1 emergency call; emergency treatment 挂急诊 Guà jízhěn register as an emergency case 这病不能耽误, 上医院看急诊吧。 Zhè bìng bù néng dānwu, shàng yīyuàn kàn jízhěn ba. This kind of illness allows no delay. Go right to hospital for emergency treatment. 2 emergency (case)
句点[句點]	ju4dian3	noun full stop; period (。)(.)
跟踪狂[跟蹤狂]	gen1zong1kuang2	stalker
人生何处不相逢[人生何處不相逢]	ren2sheng1he2chu4bu4xiang1feng2	it's a small world (idiom)
沸点[沸點]	fei4dian3	noun boiling point (opp. 冰点)
冰点[冰點]	bing1dian3	noun physics freezing point (opp. 沸点) 温度降到冰点。 Wēndù jiàngdào bīngdiǎn. The temperature fell below freezing.
多普勒[多普勒]	Duo1pu3le4	Christian Johann Doppler, Austrian physicist who discovered the Doppler effect
不可或缺[不可或缺]	bu4ke3-huo4que1	idiom indispensable; vital 水和空气为生命所不可或缺。 Shuǐ hé kōngqì wéi shēngmìng suǒ bùkěhuòquē. Water and air are indispensable to life.
先驱[先驅]	xian1qu1	verb be the first to explore, develop, innovate, etc.; forerun  noun pioneer; forerunner; harbinger 聂耳, 冼星海是中国革命音乐的先驱。 Niè Ěr, Xiǎn Xīnghǎi shì Zhōngguó gémìng yīnyuè dexiānqū. Nie Er and Xian Xinghai were pioneers of China’s revolutionary music.
呷[呷]	xia1	verb dialect sip 呷一口茶 xiā yī kǒu chá take a sip of tea
首屈一指[首屈一指]	shou3qu1-yi1zhi3	idiom come first on the list; second to none 老王的棋艺在我们公司是首屈一指的。 lǎo wáng de qíyì zài wǒmen gōngsī shì shǒuqūyīzhǐ de. Lao Wang is the best chess player in our company.
降伏[降伏]	xiang2fu2	verb subdue; vanquish; tame 降伏野马 xiángfú yěmǎ break in a wild horse 谁降伏得了那野小子？ Shuí xiángfú déle nà yě xiǎozi？ Who can tame that unruly boy?
波茨坦[波茨坦]	Bo1ci2tan3	noun Potsdam (a city near Berlin)
甲午战争[甲午戰爭]	Jia3wu3 Zhan4zheng1	noun Sino-Japanese War of 1894-1895 (launched by Japanese imperialists to annex Korea and invade China)
将士[將士]	jiang4shi4	noun literary officers and men; commanders and fighters
船只[船隻]	chuan2zhi1	noun shipping; vessels 船只失事 chuánzhī shīshì shipwreck 往来船只 wǎnglái chuánzhī shipping traffic 载货船只 zàihuò chuánzhī carrying vessels
苦橙[苦橙]	ku3cheng2	noun bitter orange
静候佳音[靜候佳音]	jing4hou4 jia1yin1	awaiting the news of your success
惊魂[驚魂]	jing1hun2	noun state of being frightened; fearful 惊魂稍定 Jīnghún shāo dìng barely recovered from a fright
迷雾[迷霧]	mi2wu4	noun 1 dense fog 2 miasma; unhealthy or evil influence; anything that misleads people
标语[標語]	biao1yu3	noun slogan; poster 张贴标语 zhāngtiē biāoyǔ put up slogans (or posters)
图腾[圖騰]	tu2teng2	noun transliteration totem
壱[壱]	yi1	one (banker's anti-fraud numeral)
圻[圻]	qi2	noun 1 archaic boundary 2 (Qí) a surname
跟屁虫[跟屁蟲]	gen1pi4chong2	noun pejorative 1 shadow; person who follows another closely 2 toady; lackey
白垩[白堊]	bai2e4	noun chalk (a type of limestone)
矽藻[矽藻]	xi1zao3	diatom
鼯鼠[鼯鼠]	wu2shu3	noun zoology flying squirrel (Petaurista)
猛犸象[猛獁象]	meng3ma3xiang4	mammoth
白目[白目]	bai2mu4	1 (slang) stupid 2 moron
顺产[順產]	shun4chan3	verb medicine natural labour; normal childbirth; eutocia (opp. 难产) 婴儿顺产。 yīng'ér shùnchǎn The baby was born after an easy labour.
邮票[郵票]	you2piao4	noun postage stamp; stamp 邮票面值 yóupiào miànzhí face value of a postage stamp 特种邮票 tèzhǒng yóupiào special stamps 一套纪念邮票 Yī tào jìniàn yóupiào a set of commemorative stamps
寻衅滋事[尋釁滋事]	xun2xin4zi1shi4	pick quarrels and stir up trouble
绮[綺]	qi3	literary noun figured woven silk material; damask  adjective beautiful; gorgeous 绮思 qǐsī beautiful thoughts (in literature)
标枪[標槍]	biao1qiang1	noun sports javelin
啤酒花[啤酒花]	pi2jiu3hua1	botany hops (Humulus lupulus)
麦芽[麥芽]	mai4ya2	noun malt 麦芽酶 màiyá méi maltose
金桔[金桔]	jin1ju2	kumquat
酵母[酵母]	jiao4mu3	noun yeast
机车[機車]	ji1che1	noun locomotive; engine
九宫[九宮]	jiu3gong1	noun music modes of ancient Chinese music
篁[篁]	huang2	noun literary 1 bamboo grove 幽篁 yōuhuáng secluded and restful bamboo grove 2 bamboo 修篁 xiū huáng tall bamboos
肉松[肉鬆]	rou4song1	noun dried meat (esp. pork) floss
回形针[迴形針]	hui2xing2zhen1	noun paper clip
专案[專案]	zhuan1an4	noun special case for investigation; case 这件事应成立专案。 Zhè jiàn shì yīng chénglì zhuān'àn. This should be made a special case for investigation.
切结书[切結書]	qie4jie2shu1	1 affidavit 2 written pledge
沿袭[沿襲]	yan2xi2	verb carry on as before; follow 沿袭陈规 Yánxí chénguī follow convention 沿袭成说 yánxí chéngshuō adopt an accepted theory 沿袭已久的框框 yánxí yǐjiǔ de kuàngkuang long-standing restrictions
充电宝[充電寶]	chong1dian4bao3	1 portable charger 2 mobile power pack
章鱼[章魚]	zhang1yu2	noun octopus
朝日[朝日]	Zhao1ri4	Asahi (Japanese place name, company name etc)
桧[檜]	gui4	VARIANT OF 76489187圆柏yuan2bai3圆柏 yuánbǎi noun botany Chinese juniper (Juniperus chinensis)
簠[簠]	fu3	noun archaic square grain receptacle used at sacrificial ceremonies
簋[簋]	gui3	noun archaic round-mouthed food vessel with two or four loop handles
奎[奎]	kui2	noun 1 archaic astronomy kui (the fifteenth of the twenty-eight zodiacal constellations (二十八宿) into which the celestial sphere was divided, consisting of sixteen stars, said to be like a person striding, in Pisces) 奎宿九 kuí xiǔ jiǔ Mirach 2 (Kuí) a surname
林立[林立]	lin2li4	verb (of masts, smokestacks, derricks, tall buildings, etc.) stand (in great numbers) like a forest 港口樯桅林立。 Gǎngkǒu qiáng wéi línlì. There is a forest of masts in the harbour.
鲁蛇[魯蛇]	lu3she2	(slang) loser (loanword) (Tw)
艋舺[艋舺]	Meng3jia3	Mengjia (also written Monga, Monka or Bangka), the pre-Japanese-era name for Wanhua 万华Wànhuá [万华], the oldest district of Taipei
鹭鸶[鷺鷥]	lu4si1	noun ornithology egret
枫树[楓樹]	feng1shu4	noun Chinese sweet gum (Liquidambar formosana)
巡回[巡迴]	xun2hui2	verb go the rounds; tour; make a circuit of 剧团正在全国各地巡回演出。 Jùtuán zhèng zài quánguó gè dì xúnhuí yǎnchū. The theatrical troupe is touring the country. 教师到放牧点上进行巡回教学。 Jiàoshī dào fàngmù diǎn shàng jìnxíng xúnhuí jiàoxué. The teachers make a circuit of the herding centres to give lessons.
殷切[殷切]	yin1qie4	adjective ardent; eager 殷切的期望 yīnqiè de qīwàng ardent expectations
河内[河內]	He2nei4	Hanoi, capital of Vietnam
札幌[札幌]	Zha2huang3	Sapporo, Japan
冲绳[沖繩]	Chong1sheng2	Okinawa
琉球[琉球]	Liu2qiu2	noun Ryukyu (Islands)
火烧眉毛[火燒眉毛]	huo3shao1-mei2mao5	idiom The fire is singeing the eyebrows.—a desperate situation; at a crucial point 火烧眉毛的事儿 Huǒ shāo méimao de shìr matter of the utmost urgency
航厦[航廈]	hang2sha4	airline terminal
芳苑[芳苑]	Fang1yuan4	Fangyuan township in Changhua county 彰化县Zhānghuàxiàn [彰化县], Taiwan
彰化[彰化]	Zhang1hua4	Zhanghua or Changhua city and county in west Taiwan
讹传[訛傳]	e2chuan2	noun unfounded rumour; false report
偏心[偏心]	pian1xin1	adjective 1 partial; showing particular favour to 她对小儿子有点儿偏心。 Tā duì xiǎo érzi yǒu diǎnr piānxīn. She rather favours her youngest son. or Her youngest son is rather her favourite. 2 mechanics eccentric
前揭[前揭]	qian2jie1	1 (the item) named above 2 aforementioned 3 cited above 4 op. cit.
贮存[貯存]	zhu4cun2	verb store; keep in storage
报导[報導]	bao4dao3	1 report on 2 information
宋太祖[宋太祖]	Song4 Tai4zu3	Emperor Taizu of Song, posthumous title of the founding Song emperor Zhao Kuangyin 赵匡胤 (927-976), reigned from 960
魏晋[魏晉]	Wei4 Jin4	Wei (220-265) and Jin (265-420) dynasties
倏[倏]	shu1	adverb literary suddenly; quickly 羊城一别, 倏已半年。 Yáng chéng yī bié, shū yǐ bàn nián. Six months have passed in a flash since we parted in the City of Rams ( i.e. Guangzhou).
历练[歷練]	li4lian4	literary verb experience; temper oneself 让孩子出门历练一番。 Ràng háizi chūmén lìliàn yī fān. Let the child go out to see the world.  adjective experienced; seasoned 历练老成 lì liàn lǎo chéng be experienced and prudent
摩登[摩登]	mo2deng1	adjective transliteration modern; fashionable 摩登家具 módēng jiāju fashionable furniture
苗头[苗頭]	miao2tou5	noun symptom of a trend; suggestion of a new development 要注意不良倾向的苗头。 Yào zhùyì bùliáng qīngxiàng de miáotou. Watch out for symptoms of unhealthy tendencies. 他一看苗头不对, 就溜了。 Tā yī kàn miáotou bùduì, jiù liū le. He slipped off when he saw what was going to happen.
轸[軫]	zhen3	noun archaic 1 crossboard at the rear of a carriage 2 carriage 3 astronomy zhen (the last of the twenty-eight constellations (二十八宿) of the celestial sphere, consisting of four stars in Corvus)  adjective literary sorrowful; distressed 轸悼 zhěndào mourn deeply
留美[留美]	liu2Mei3	study in the US
肃穆[肅穆]	su4mu4	adjective solemn and quiet; solemn and respectful 纪念会气氛肃穆。 Jìniànhuì qìfēn sùmù. The commemoration meeting was permeated with a solemn atmosphere.
僧尼[僧尼]	seng1ni2	noun Buddhist monks and nuns
拂尘[拂塵]	fu2chen2	noun horsetail whisk
英才[英才]	ying1cai2	noun literary 1 person of outstanding ability (or superior talents) 2 talent; outstanding ability; wisdom
痛失[痛失]	tong4shi1	1 to suffer the painful loss of (a loved one etc) 2 to miss out on (an opportunity) 3 to fail to gain (victory etc)
开吊[開弔]	kai1diao4	1 to hold memorial service 2 to hold a funeral
治丧[治喪]	zhi4sang1	verb make funeral arrangements; prepare a funeral
晦气[晦氣]	hui4qi5	adjective unlucky 一脸晦气 yī liǎn huìqi gloomy look that suggests bad luck 碰到这种事真是晦气！ Pèngdào zhèzhǒng shì zhēnshi huìqi! Just my rotten luck!
下凡[下凡]	xia4//fan2	verb (of gods or immortals) descend to the human world
乱世[亂世]	luan4shi4	noun troubled times; turbulent days
眞[眞]	zhen1	1 really 2 truly 3 indeed 4 real 5 true 6 genuine
纣辛[紂辛]	Zhou4 Xin1	Zhou Xin (c. 11th century BC), last emperor of the of Shang Dynasty
妲己[妲己]	Da2ji3	Da Ji (the favourite concubine of King Zhou (纣王), the last ruler of Shang Dynasty)
褒姒[褒姒]	Bao1si4	Baosi, concubine of King You of Zhou 周幽王 Zhōu Yōuwáng [周幽王] and one of the famous Chinese beauties
八字[八字]	ba1zi4	noun Eight Characters (in four pairs, indicating the year, month, day, and hour of a person's birth, each pair consisting of one Heavenly Stem (天干) and one Earthly Branch (地支), formerly used in fortune-telling) 问八字 wèn bāzì consult one’s horoscope; consult a fortune-teller
许愿[許願]	xu3//yuan4	verb 1 make a vow (to a god) 烧香许愿 shāoxiāngxǔyuàn burn incense and make vows 2 promise sb. a reward 我给孩子许了愿, 要是他这次考好了带他去海边玩。 Wǒ gěi háizi xǔ le yuàn, yào shì tā zhècì kǎo hǎo le dài tā qù hǎibiān wán. I promised the child to take him to the seaside if he did well in the exam.
俯[俯]	fu3	verb 1 bow (one's head) (opp. 仰) See 21229056俯视fu3shi4俯视 2 bend over 俯下身子捡起来 fǔ xià shēnzi jiǎn qǐlai bend down and pick up sth. 3 dated courteous [in official documents or letters] condescend to 俯允 fǔyǔn condescend to give permission
不虞[不虞]	bu4yu2	literary noun eventuality; contingency 以备不虞 yǐ bèi bùyú prepare for any contingency  verb 1 unexpected See 18007296不虞之誉bu4yu2zhi1yu4不虞之誉 2 not worry about 不虞匮乏 bù yú kuìfá fear no shortage of material resources; not worry about running out of supplies
机宜[機宜]	ji1yi2	noun principles of action; guidelines 面授机宜 miànshòujīyí brief sb. on how to act
消灾[消災]	xiao1//zai1	verb be rid of calamities 消灾免祸 xiāo zāi miǎn huò avert calamities; avoid disasters 祈求神灵消灾降福 Qíqiú shénlíng xiāo zāi jiàng fú pray to the gods to ward off calamities and send down blessings
绫[綾]	ling2	noun textile silk fabric finer than satin; damask silk
飞升[飛昇]	fei1sheng1	1 to levitate heavenwards (a Daoist success) 2 to take off 3 to soar (of prices)
禀[稟]	bing3	noun dated official report; petition See 17752320禀帖bing3tie3禀帖  verb 1 literary report (to one's superior or senior); petition 回禀 huíbǐng report back (to one’s superior) 2 receive; endowed with See 17751040禀赋bing3fu4禀赋
蒐集[蒐集]	sou1ji2	1 to gather 2 to collect
丼[丼]	dong4	(Tw) bowl of boiled rice with other food on top (loanword from Japanese "donburi")
底盘[底盤]	di3pan2	noun chassis (of a car, etc.)
部首[部首]	bu4shou3	noun linguistics indexing component (by which characters are arranged in traditional Chinese dictionaries)
平假名[平假名]	ping2jia3ming2	noun hiragana (one of the written varieties of 假名2, the other being 片假名)
片假名[片假名]	pian4jia3ming2	noun linguistics katakana (one of the written varieties of 假名2, the other being 平假名)
章节[章節]	zhang1jie2	noun chapters and sections
单数[單數]	dan1shu4	noun 1 odd number (opp. 双数) 2 linguistics singular (number)
复数[複數]	fu4shu4	noun 1 linguistics plural (number) 2 mathematics complex number
